feature_id	source_scope	source_files	source_loc	target_capsule	phase	done_gate
components/FallbackToolUseErrorMessage	components/FallbackToolUseErrorMessage	1	115	llm_caret.claude_full.components/FallbackToolUseErrorMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FallbackToolUseRejectedMessage	components/FallbackToolUseRejectedMessage	1	15	llm_caret.claude_full.components/FallbackToolUseRejectedMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FastIcon	components/FastIcon	1	45	llm_caret.claude_full.components/FastIcon	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Feedback	components/Feedback	1	591	llm_caret.claude_full.components/Feedback	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FeedbackSurvey	components/FeedbackSurvey	1	173	llm_caret.claude_full.components/FeedbackSurvey	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FeedbackSurveyView	components/FeedbackSurveyView	1	107	llm_caret.claude_full.components/FeedbackSurveyView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FeedColumn	components/FeedColumn	1	58	llm_caret.claude_full.components/FeedColumn	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Feed	components/Feed	1	111	llm_caret.claude_full.components/Feed	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/feedConfigs	components/feedConfigs	1	91	llm_caret.claude_full.components/feedConfigs	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileEditPermissionRequest	components/FileEditPermissionRequest	1	181	llm_caret.claude_full.components/FileEditPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileEditToolDiff	components/FileEditToolDiff	1	180	llm_caret.claude_full.components/FileEditToolDiff	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileEditToolUpdatedMessage	components/FileEditToolUpdatedMessage	1	123	llm_caret.claude_full.components/FileEditToolUpdatedMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileEditToolUseRejectedMessage	components/FileEditToolUseRejectedMessage	1	169	llm_caret.claude_full.components/FileEditToolUseRejectedMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FilePathLink	components/FilePathLink	1	42	llm_caret.claude_full.components/FilePathLink	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FilePermissionDialog	components/FilePermissionDialog	1	203	llm_caret.claude_full.components/FilePermissionDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FilesystemPermissionRequest	components/FilesystemPermissionRequest	1	114	llm_caret.claude_full.components/FilesystemPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileWritePermissionRequest	components/FileWritePermissionRequest	1	160	llm_caret.claude_full.components/FileWritePermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FileWriteToolDiff	components/FileWriteToolDiff	1	88	llm_caret.claude_full.components/FileWriteToolDiff	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FlashingChar	components/FlashingChar	1	60	llm_caret.claude_full.components/FlashingChar	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FullscreenLayout	components/FullscreenLayout	1	636	llm_caret.claude_full.components/FullscreenLayout	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FuzzyPicker	components/FuzzyPicker	1	311	llm_caret.claude_full.components/FuzzyPicker	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/General	components/General	1	22	llm_caret.claude_full.components/General	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/generateAgent	components/generateAgent	1	197	llm_caret.claude_full.components/generateAgent	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/GenerateStep	components/GenerateStep	1	142	llm_caret.claude_full.components/GenerateStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/GlimmerMessage	components/GlimmerMessage	1	327	llm_caret.claude_full.components/GlimmerMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/GlobalSearchDialog	components/GlobalSearchDialog	1	342	llm_caret.claude_full.components/GlobalSearchDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/GroupedToolUseContent	components/GroupedToolUseContent	1	57	llm_caret.claude_full.components/GroupedToolUseContent	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Grove	components/Grove	1	462	llm_caret.claude_full.components/Grove	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/GuestPassesUpsell	components/GuestPassesUpsell	1	69	llm_caret.claude_full.components/GuestPassesUpsell	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HelpV2	components/HelpV2	1	183	llm_caret.claude_full.components/HelpV2	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HighlightedCode	components/HighlightedCode	1	189	llm_caret.claude_full.components/HighlightedCode	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HighlightedThinkingText	components/HighlightedThinkingText	1	161	llm_caret.claude_full.components/HighlightedThinkingText	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HistorySearchDialog	components/HistorySearchDialog	1	117	llm_caret.claude_full.components/HistorySearchDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HistorySearchInput	components/HistorySearchInput	1	50	llm_caret.claude_full.components/HistorySearchInput	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HookProgressMessage	components/HookProgressMessage	1	115	llm_caret.claude_full.components/HookProgressMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/hooks	components/hooks	1	209	llm_caret.claude_full.components/hooks	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/HooksConfigMenu	components/HooksConfigMenu	1	577	llm_caret.claude_full.components/HooksConfigMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/IdeAutoConnectDialog	components/IdeAutoConnectDialog	1	153	llm_caret.claude_full.components/IdeAutoConnectDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ideDiffConfig	components/ideDiffConfig	1	42	llm_caret.claude_full.components/ideDiffConfig	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/IdeOnboardingDialog	components/IdeOnboardingDialog	1	166	llm_caret.claude_full.components/IdeOnboardingDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/IdeStatusIndicator	components/IdeStatusIndicator	1	57	llm_caret.claude_full.components/IdeStatusIndicator	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/IdleReturnDialog	components/IdleReturnDialog	1	117	llm_caret.claude_full.components/IdleReturnDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/index	components/index	4	31	llm_caret.claude_full.components/index	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/InProcessTeammateDetailDialog	components/InProcessTeammateDetailDialog	1	265	llm_caret.claude_full.components/InProcessTeammateDetailDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/inputModes	components/inputModes	1	33	llm_caret.claude_full.components/inputModes	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/inputPaste	components/inputPaste	1	90	llm_caret.claude_full.components/inputPaste	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/InterruptedByUser	components/InterruptedByUser	1	14	llm_caret.claude_full.components/InterruptedByUser	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/InvalidConfigDialog	components/InvalidConfigDialog	1	155	llm_caret.claude_full.components/InvalidConfigDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/InvalidSettingsDialog	components/InvalidSettingsDialog	1	88	llm_caret.claude_full.components/InvalidSettingsDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/IssueFlagBanner	components/IssueFlagBanner	1	11	llm_caret.claude_full.components/IssueFlagBanner	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/KeybindingWarnings	components/KeybindingWarnings	1	54	llm_caret.claude_full.components/KeybindingWarnings	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/KeyboardShortcutHint	components/KeyboardShortcutHint	1	80	llm_caret.claude_full.components/KeyboardShortcutHint	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LanguagePicker	components/LanguagePicker	1	85	llm_caret.claude_full.components/LanguagePicker	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ListItem	components/ListItem	1	243	llm_caret.claude_full.components/ListItem	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LoadingState	components/LoadingState	1	93	llm_caret.claude_full.components/LoadingState	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LocationStep	components/LocationStep	1	79	llm_caret.claude_full.components/LocationStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LogoV2	components/LogoV2	1	542	llm_caret.claude_full.components/LogoV2	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LogSelector	components/LogSelector	1	1574	llm_caret.claude_full.components/LogSelector	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/LspRecommendationMenu	components/LspRecommendationMenu	1	87	llm_caret.claude_full.components/LspRecommendationMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ManagedSettingsSecurityDialog	components/ManagedSettingsSecurityDialog	1	148	llm_caret.claude_full.components/ManagedSettingsSecurityDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Markdown	components/Markdown	1	235	llm_caret.claude_full.components/Markdown	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MarkdownTable	components/MarkdownTable	1	321	llm_caret.claude_full.components/MarkdownTable	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPAgentServerMenu	components/MCPAgentServerMenu	1	182	llm_caret.claude_full.components/MCPAgentServerMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPListPanel	components/MCPListPanel	1	503	llm_caret.claude_full.components/MCPListPanel	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/McpParsingWarnings	components/McpParsingWarnings	1	212	llm_caret.claude_full.components/McpParsingWarnings	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPReconnect	components/MCPReconnect	1	166	llm_caret.claude_full.components/MCPReconnect	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPRemoteServerMenu	components/MCPRemoteServerMenu	1	648	llm_caret.claude_full.components/MCPRemoteServerMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPServerApprovalDialog	components/MCPServerApprovalDialog	1	114	llm_caret.claude_full.components/MCPServerApprovalDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPServerDesktopImportDialog	components/MCPServerDesktopImportDialog	1	202	llm_caret.claude_full.components/MCPServerDesktopImportDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPServerDialogCopy	components/MCPServerDialogCopy	1	14	llm_caret.claude_full.components/MCPServerDialogCopy	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPServerMultiselectDialog	components/MCPServerMultiselectDialog	1	132	llm_caret.claude_full.components/MCPServerMultiselectDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPSettings	components/MCPSettings	1	397	llm_caret.claude_full.components/MCPSettings	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPStdioServerMenu	components/MCPStdioServerMenu	1	176	llm_caret.claude_full.components/MCPStdioServerMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPToolDetailView	components/MCPToolDetailView	1	211	llm_caret.claude_full.components/MCPToolDetailView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MCPToolListView	components/MCPToolListView	1	140	llm_caret.claude_full.components/MCPToolListView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MemoryFileSelector	components/MemoryFileSelector	1	437	llm_caret.claude_full.components/MemoryFileSelector	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MemoryStep	components/MemoryStep	1	112	llm_caret.claude_full.components/MemoryStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MemoryUpdateNotification	components/MemoryUpdateNotification	1	44	llm_caret.claude_full.components/MemoryUpdateNotification	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MemoryUsageIndicator	components/MemoryUsageIndicator	1	36	llm_caret.claude_full.components/MemoryUsageIndicator	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/messageActions	components/messageActions	1	449	llm_caret.claude_full.components/messageActions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Message	components/Message	1	626	llm_caret.claude_full.components/Message	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MessageModel	components/MessageModel	1	42	llm_caret.claude_full.components/MessageModel	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MessageResponse	components/MessageResponse	1	77	llm_caret.claude_full.components/MessageResponse	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MessageRow	components/MessageRow	1	382	llm_caret.claude_full.components/MessageRow	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Messages	components/Messages	1	833	llm_caret.claude_full.components/Messages	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MessageSelector	components/MessageSelector	1	830	llm_caret.claude_full.components/MessageSelector	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MessageTimestamp	components/MessageTimestamp	1	62	llm_caret.claude_full.components/MessageTimestamp	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/MethodStep	components/MethodStep	1	79	llm_caret.claude_full.components/MethodStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ModelPicker	components/ModelPicker	1	447	llm_caret.claude_full.components/ModelPicker	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ModelSelector	components/ModelSelector	1	67	llm_caret.claude_full.components/ModelSelector	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ModelStep	components/ModelStep	1	51	llm_caret.claude_full.components/ModelStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/NativeAutoUpdater	components/NativeAutoUpdater	1	192	llm_caret.claude_full.components/NativeAutoUpdater	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/NotebookEditPermissionRequest	components/NotebookEditPermissionRequest	1	165	llm_caret.claude_full.components/NotebookEditPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/NotebookEditToolDiff	components/NotebookEditToolDiff	1	234	llm_caret.claude_full.components/NotebookEditToolDiff	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/NotebookEditToolUseRejectedMessage	components/NotebookEditToolUseRejectedMessage	1	91	llm_caret.claude_full.components/NotebookEditToolUseRejectedMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Notifications	components/Notifications	1	331	llm_caret.claude_full.components/Notifications	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/nullRenderingAttachments	components/nullRenderingAttachments	1	70	llm_caret.claude_full.components/nullRenderingAttachments	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OffscreenFreeze	components/OffscreenFreeze	1	43	llm_caret.claude_full.components/OffscreenFreeze	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Onboarding	components/Onboarding	1	243	llm_caret.claude_full.components/Onboarding	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/option-map	components/option-map	1	50	llm_caret.claude_full.components/option-map	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Opus1mMergeNotice	components/Opus1mMergeNotice	1	54	llm_caret.claude_full.components/Opus1mMergeNotice	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OrderedList	components/OrderedList	1	70	llm_caret.claude_full.components/OrderedList	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OrderedListItem	components/OrderedListItem	1	44	llm_caret.claude_full.components/OrderedListItem	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OutputLine	components/OutputLine	1	117	llm_caret.claude_full.components/OutputLine	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OutputStylePicker	components/OutputStylePicker	1	111	llm_caret.claude_full.components/OutputStylePicker	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/OverageCreditUpsell	components/OverageCreditUpsell	1	165	llm_caret.claude_full.components/OverageCreditUpsell	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PackageManagerAutoUpdater	components/PackageManagerAutoUpdater	1	103	llm_caret.claude_full.components/PackageManagerAutoUpdater	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Pane	components/Pane	1	76	llm_caret.claude_full.components/Pane	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Passes	components/Passes	1	183	llm_caret.claude_full.components/Passes	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionDecisionDebugInfo	components/PermissionDecisionDebugInfo	1	459	llm_caret.claude_full.components/PermissionDecisionDebugInfo	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionDialog	components/PermissionDialog	1	71	llm_caret.claude_full.components/PermissionDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionExplanation	components/PermissionExplanation	1	271	llm_caret.claude_full.components/PermissionExplanation	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/permissionOptions	components/permissionOptions	1	176	llm_caret.claude_full.components/permissionOptions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionPrompt	components/PermissionPrompt	1	335	llm_caret.claude_full.components/PermissionPrompt	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRequest	components/PermissionRequest	1	216	llm_caret.claude_full.components/PermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRequestTitle	components/PermissionRequestTitle	1	65	llm_caret.claude_full.components/PermissionRequestTitle	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRuleDescription	components/PermissionRuleDescription	1	75	llm_caret.claude_full.components/PermissionRuleDescription	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRuleExplanation	components/PermissionRuleExplanation	1	120	llm_caret.claude_full.components/PermissionRuleExplanation	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRuleInput	components/PermissionRuleInput	1	137	llm_caret.claude_full.components/PermissionRuleInput	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PermissionRuleList	components/PermissionRuleList	1	1178	llm_caret.claude_full.components/PermissionRuleList	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PlanApprovalMessage	components/PlanApprovalMessage	1	221	llm_caret.claude_full.components/PlanApprovalMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PluginHintMenu	components/PluginHintMenu	1	77	llm_caret.claude_full.components/PluginHintMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PowerShellPermissionRequest	components/PowerShellPermissionRequest	1	234	llm_caret.claude_full.components/PowerShellPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/powershellToolUseOptions	components/powershellToolUseOptions	1	90	llm_caret.claude_full.components/powershellToolUseOptions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PrBadge	components/PrBadge	1	96	llm_caret.claude_full.components/PrBadge	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PressEnterToContinue	components/PressEnterToContinue	1	14	llm_caret.claude_full.components/PressEnterToContinue	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PreviewBox	components/PreviewBox	1	228	llm_caret.claude_full.components/PreviewBox	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PreviewQuestionView	components/PreviewQuestionView	1	327	llm_caret.claude_full.components/PreviewQuestionView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ProgressBar	components/ProgressBar	1	85	llm_caret.claude_full.components/ProgressBar	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptDialog	components/PromptDialog	1	89	llm_caret.claude_full.components/PromptDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInput	components/PromptInput	1	2338	llm_caret.claude_full.components/PromptInput	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputFooter	components/PromptInputFooter	1	190	llm_caret.claude_full.components/PromptInputFooter	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputFooterLeftSide	components/PromptInputFooterLeftSide	1	516	llm_caret.claude_full.components/PromptInputFooterLeftSide	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputFooterSuggestions	components/PromptInputFooterSuggestions	1	292	llm_caret.claude_full.components/PromptInputFooterSuggestions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputHelpMenu	components/PromptInputHelpMenu	1	357	llm_caret.claude_full.components/PromptInputHelpMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputModeIndicator	components/PromptInputModeIndicator	1	92	llm_caret.claude_full.components/PromptInputModeIndicator	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputQueuedCommands	components/PromptInputQueuedCommands	1	116	llm_caret.claude_full.components/PromptInputQueuedCommands	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptInputStashNotice	components/PromptInputStashNotice	1	24	llm_caret.claude_full.components/PromptInputStashNotice	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/PromptStep	components/PromptStep	1	127	llm_caret.claude_full.components/PromptStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/QuestionNavigationBar	components/QuestionNavigationBar	1	177	llm_caret.claude_full.components/QuestionNavigationBar	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/QuestionView	components/QuestionView	1	464	llm_caret.claude_full.components/QuestionView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/QuickOpenDialog	components/QuickOpenDialog	1	243	llm_caret.claude_full.components/QuickOpenDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Ratchet	components/Ratchet	1	79	llm_caret.claude_full.components/Ratchet	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RateLimitMessage	components/RateLimitMessage	1	160	llm_caret.claude_full.components/RateLimitMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RecentDenialsTab	components/RecentDenialsTab	1	206	llm_caret.claude_full.components/RecentDenialsTab	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/reconnectHelpers	components/reconnectHelpers	1	48	llm_caret.claude_full.components/reconnectHelpers	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RejectedPlanMessage	components/RejectedPlanMessage	1	30	llm_caret.claude_full.components/RejectedPlanMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RejectedToolUseMessage	components/RejectedToolUseMessage	1	15	llm_caret.claude_full.components/RejectedToolUseMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RemoteCallout	components/RemoteCallout	1	75	llm_caret.claude_full.components/RemoteCallout	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RemoteEnvironmentDialog	components/RemoteEnvironmentDialog	1	339	llm_caret.claude_full.components/RemoteEnvironmentDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RemoteSessionDetailDialog	components/RemoteSessionDetailDialog	1	903	llm_caret.claude_full.components/RemoteSessionDetailDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RemoteSessionProgress	components/RemoteSessionProgress	1	242	llm_caret.claude_full.components/RemoteSessionProgress	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/RemoveWorkspaceDirectory	components/RemoveWorkspaceDirectory	1	109	llm_caret.claude_full.components/RemoveWorkspaceDirectory	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/renderToolActivity	components/renderToolActivity	1	32	llm_caret.claude_full.components/renderToolActivity	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ResumeTask	components/ResumeTask	1	267	llm_caret.claude_full.components/ResumeTask	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxConfigTab	components/SandboxConfigTab	1	44	llm_caret.claude_full.components/SandboxConfigTab	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxDependenciesTab	components/SandboxDependenciesTab	1	119	llm_caret.claude_full.components/SandboxDependenciesTab	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxDoctorSection	components/SandboxDoctorSection	1	45	llm_caret.claude_full.components/SandboxDoctorSection	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxOverridesTab	components/SandboxOverridesTab	1	192	llm_caret.claude_full.components/SandboxOverridesTab	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxPermissionRequest	components/SandboxPermissionRequest	1	162	llm_caret.claude_full.components/SandboxPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxPromptFooterHint	components/SandboxPromptFooterHint	1	63	llm_caret.claude_full.components/SandboxPromptFooterHint	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxSettings	components/SandboxSettings	1	295	llm_caret.claude_full.components/SandboxSettings	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SandboxViolationExpandedView	components/SandboxViolationExpandedView	1	98	llm_caret.claude_full.components/SandboxViolationExpandedView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ScrollKeybindingHandler	components/ScrollKeybindingHandler	1	1011	llm_caret.claude_full.components/ScrollKeybindingHandler	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SearchBox	components/SearchBox	1	71	llm_caret.claude_full.components/SearchBox	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SedEditPermissionRequest	components/SedEditPermissionRequest	1	229	llm_caret.claude_full.components/SedEditPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/select	components/select	1	689	llm_caret.claude_full.components/select	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SelectEventMode	components/SelectEventMode	1	126	llm_caret.claude_full.components/SelectEventMode	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SelectHookMode	components/SelectHookMode	1	111	llm_caret.claude_full.components/SelectHookMode	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/select-input-option	components/select-input-option	1	487	llm_caret.claude_full.components/select-input-option	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SelectMatcherMode	components/SelectMatcherMode	1	143	llm_caret.claude_full.components/SelectMatcherMode	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SelectMulti	components/SelectMulti	1	212	llm_caret.claude_full.components/SelectMulti	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/select-option	components/select-option	1	67	llm_caret.claude_full.components/select-option	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SentryErrorBoundary	components/SentryErrorBoundary	1	28	llm_caret.claude_full.components/SentryErrorBoundary	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SessionBackgroundHint	components/SessionBackgroundHint	1	107	llm_caret.claude_full.components/SessionBackgroundHint	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/SessionPreview	components/SessionPreview	1	193	llm_caret.claude_full.components/SessionPreview	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Settings	components/Settings	1	136	llm_caret.claude_full.components/Settings	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ShellDetailDialog	components/ShellDetailDialog	1	403	llm_caret.claude_full.components/ShellDetailDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/shellPermissionHelpers	components/shellPermissionHelpers	1	163	llm_caret.claude_full.components/shellPermissionHelpers	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ShellProgress	components/ShellProgress	1	86	llm_caret.claude_full.components/ShellProgress	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ShellProgressMessage	components/ShellProgressMessage	1	149	llm_caret.claude_full.components/ShellProgressMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
